"0#0","Pos.","Player","Date of birth (age)","Caps","Goals","Club","player_url","name","club_name","club_name_detailed","club_url","country","wikidata_item"
22,"1GK","Łukasz Fabiański","(1985-04-18)18 April 1985 (aged 31)",30,0,"Swansea City","https://en.wikipedia.org/wiki/%C5%81ukasz_Fabia%C5%84ski","Łukasz Fabiański","Swansea City","Swansea City A.F.C.","https://en.wikipedia.org/wiki/Swansea_City_A.F.C.","Poland","https://www.wikidata.org/wiki/Q40596"
23,"3MF","Filip Starzyński","(1991-05-27)27 May 1991 (aged 25)",3,1,"Zagłębie Lubin","https://en.wikipedia.org/wiki/Filip_Starzy%C5%84ski","Filip Starzyński","Zagłębie Lubin","Zagłębie Lubin","https://en.wikipedia.org/wiki/Zag%C5%82%C4%99bie_Lubin","Poland","https://www.wikidata.org/wiki/Q11698058"
1,"1GK","Michael McGovern","(1984-07-12)12 July 1984 (aged 31)",11,0,"Hamilton Academical","https://en.wikipedia.org/wiki/Michael_McGovern","Michael McGovern","Hamilton Academical","Hamilton Academical F.C.","https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q3777702"
2,"2DF","Conor McLaughlin","(1991-07-26)26 July 1991 (aged 24)",18,0,"Fleetwood Town","https://en.wikipedia.org/wiki/Conor_McLaughlin","Conor McLaughlin","Fleetwood Town","Fleetwood Town F.C.","https://en.wikipedia.org/wiki/Fleetwood_Town_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q3687123"
3,"3MF","Shane Ferguson","(1991-07-12)12 July 1991 (aged 24)",25,1,"Millwall","https://en.wikipedia.org/wiki/Shane_Ferguson","Shane Ferguson","Millwall","Millwall F.C.","https://en.wikipedia.org/wiki/Millwall_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q969467"
4,"2DF","Gareth McAuley","(1979-12-05)5 December 1979 (aged 36)",61,7,"West Bromwich Albion","https://en.wikipedia.org/wiki/Gareth_McAuley","Gareth McAuley","West Bromwich Albion","West Bromwich Albion F.C.","https://en.wikipedia.org/wiki/West_Bromwich_Albion_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q933750"
5,"2DF","Jonny Evans","(1988-01-03)3 January 1988 (aged 28)",49,1,"West Bromwich Albion","https://en.wikipedia.org/wiki/Jonny_Evans","Jonny Evans","West Bromwich Albion","West Bromwich Albion F.C.","https://en.wikipedia.org/wiki/West_Bromwich_Albion_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q29495"
6,"2DF","Chris Baird","(1982-02-25)25 February 1982 (aged 34)",78,0,"Fulham","https://en.wikipedia.org/wiki/Chris_Baird","Chris Baird","Fulham","Fulham F.C.","https://en.wikipedia.org/wiki/Fulham_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q376237"
7,"3MF","Niall McGinn","(1987-07-20)20 July 1987 (aged 28)",41,2,"Aberdeen","https://en.wikipedia.org/wiki/Niall_McGinn","Niall McGinn","Aberdeen","Aberdeen F.C.","https://en.wikipedia.org/wiki/Aberdeen_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q1352049"
8,"3MF","Steven Davis (captain)","(1985-01-01)1 January 1985 (aged 31)",83,8,"Southampton","https://en.wikipedia.org/wiki/Steven_Davis","Steven Davis","Southampton","Southampton F.C.","https://en.wikipedia.org/wiki/Southampton_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q355807"
9,"4FW","Will Grigg","(1991-07-03)3 July 1991 (aged 24)",8,1,"Wigan Athletic","https://en.wikipedia.org/wiki/Will_Grigg","Will Grigg","Wigan Athletic","Wigan Athletic F.C.","https://en.wikipedia.org/wiki/Wigan_Athletic_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q5660741"
10,"4FW","Kyle Lafferty","(1987-09-16)16 September 1987 (aged 28)",51,17,"Birmingham City","https://en.wikipedia.org/wiki/Kyle_Lafferty","Kyle Lafferty","Birmingham City","Birmingham City F.C.","https://en.wikipedia.org/wiki/Birmingham_City_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q1369793"
11,"4FW","Conor Washington","(1992-05-18)18 May 1992 (aged 24)",4,2,"Queens Park Rangers","https://en.wikipedia.org/wiki/Conor_Washington","Conor Washington","Queens Park Rangers","Queens Park Rangers F.C.","https://en.wikipedia.org/wiki/Queens_Park_Rangers_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q16235149"
12,"1GK","Roy Carroll","(1977-09-30)30 September 1977 (aged 38)",43,0,"Notts County","https://en.wikipedia.org/wiki/Roy_Carroll","Roy Carroll","Notts County","Notts County F.C.","https://en.wikipedia.org/wiki/Notts_County_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q258824"
13,"3MF","Corry Evans","(1990-07-30)30 July 1990 (aged 25)",34,1,"Blackburn Rovers","https://en.wikipedia.org/wiki/Corry_Evans","Corry Evans","Blackburn Rovers","Blackburn Rovers F.C.","https://en.wikipedia.org/wiki/Blackburn_Rovers_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q853594"
14,"3MF","Stuart Dallas","(1991-04-19)19 April 1991 (aged 25)",13,1,"Leeds United","https://en.wikipedia.org/wiki/Stuart_Dallas","Stuart Dallas","Leeds United","Leeds United F.C.","https://en.wikipedia.org/wiki/Leeds_United_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q3976225"
15,"2DF","Luke McCullough","(1994-02-15)15 February 1994 (aged 22)",5,0,"Doncaster Rovers","https://en.wikipedia.org/wiki/Luke_McCullough","Luke McCullough","Doncaster Rovers","Doncaster Rovers F.C.","https://en.wikipedia.org/wiki/Doncaster_Rovers_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q15976362"
16,"3MF","Oliver Norwood","(1991-04-12)12 April 1991 (aged 25)",34,0,"Reading","https://en.wikipedia.org/wiki/Oliver_Norwood","Oliver Norwood","Reading","Reading F.C.","https://en.wikipedia.org/wiki/Reading_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q920425"
17,"2DF","Paddy McNair","(1995-04-27)27 April 1995 (aged 21)",9,0,"Manchester United","https://en.wikipedia.org/wiki/Paddy_McNair","Paddy McNair","Manchester United","Manchester United F.C.","https://en.wikipedia.org/wiki/Manchester_United_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q18142105"
18,"2DF","Aaron Hughes","(1979-11-08)8 November 1979 (aged 36)",100,1,"Melbourne City","https://en.wikipedia.org/wiki/Aaron_Hughes","Aaron Hughes","Melbourne City","Melbourne City FC","https://en.wikipedia.org/wiki/Melbourne_City_FC","Northern Ireland","https://www.wikidata.org/wiki/Q302130"
19,"3MF","Jamie Ward","(1986-05-12)12 May 1986 (aged 30)",22,2,"Nottingham Forest","https://en.wikipedia.org/wiki/Jamie_Ward","Jamie Ward","Nottingham Forest","Nottingham Forest F.C.","https://en.wikipedia.org/wiki/Nottingham_Forest_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q328479"
20,"2DF","Craig Cathcart","(1989-02-06)6 February 1989 (aged 27)",28,2,"Watford","https://en.wikipedia.org/wiki/Craig_Cathcart","Craig Cathcart","Watford","Watford F.C.","https://en.wikipedia.org/wiki/Watford_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q458316"
21,"4FW","Josh Magennis","(1990-05-15)15 May 1990 (aged 26)",19,1,"Kilmarnock","https://en.wikipedia.org/wiki/Josh_Magennis","Josh Magennis","Kilmarnock","Kilmarnock F.C.","https://en.wikipedia.org/wiki/Kilmarnock_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q3185990"
22,"2DF","Lee Hodson","(1991-10-02)2 October 1991 (aged 24)",16,0,"Milton Keynes Dons","https://en.wikipedia.org/wiki/Lee_Hodson","Lee Hodson","Milton Keynes Dons","Milton Keynes Dons F.C.","https://en.wikipedia.org/wiki/Milton_Keynes_Dons_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q10715"
23,"1GK","Alan Mannus","(1982-05-19)19 May 1982 (aged 34)",8,0,"St Johnstone","https://en.wikipedia.org/wiki/Alan_Mannus","Alan Mannus","St Johnstone","St Johnstone F.C.","https://en.wikipedia.org/wiki/St_Johnstone_F.C.","Northern Ireland","https://www.wikidata.org/wiki/Q1759443"
1,"1GK","Iker Casillas (captain)","(1981-05-20)20 May 1981 (aged 35)",167,0,"Porto","https://en.wikipedia.org/wiki/Iker_Casillas","Iker Casillas","Porto","FC Porto","https://en.wikipedia.org/wiki/FC_Porto","Spain","https://www.wikidata.org/wiki/Q11584"
2,"2DF","César Azpilicueta","(1989-08-28)28 August 1989 (aged 26)",15,0,"Chelsea","https://en.wikipedia.org/wiki/C%C3%A9sar_Azpilicueta","César Azpilicueta","Chelsea","Chelsea F.C.","https://en.wikipedia.org/wiki/Chelsea_F.C.","Spain","https://www.wikidata.org/wiki/Q294806"
3,"2DF","Gerard Piqué","(1987-02-02)2 February 1987 (aged 29)",77,4,"Barcelona","https://en.wikipedia.org/wiki/Gerard_Piqu%C3%A9","Gerard Piqué","Barcelona","FC Barcelona","https://en.wikipedia.org/wiki/FC_Barcelona","Spain","https://www.wikidata.org/wiki/Q17507"
4,"2DF","Marc Bartra","(1991-01-15)15 January 1991 (aged 25)",10,0,"Barcelona","https://en.wikipedia.org/wiki/Marc_Bartra","Marc Bartra","Barcelona","FC Barcelona","https://en.wikipedia.org/wiki/FC_Barcelona","Spain","https://www.wikidata.org/wiki/Q310625"
5,"3MF","Sergio Busquets","(1988-07-16)16 July 1988 (aged 27)",84,2,"Barcelona","https://en.wikipedia.org/wiki/Sergio_Busquets","Sergio Busquets","Barcelona","FC Barcelona","https://en.wikipedia.org/wiki/FC_Barcelona","Spain","https://www.wikidata.org/wiki/Q49704"
6,"3MF","Andrés Iniesta","(1984-05-11)11 May 1984 (aged 32)",109,13,"Barcelona","https://en.wikipedia.org/wiki/Andr%C3%A9s_Iniesta","Andrés Iniesta","Barcelona","FC Barcelona","https://en.wikipedia.org/wiki/FC_Barcelona","Spain","https://www.wikidata.org/wiki/Q43729"
7,"4FW","Álvaro Morata","(1992-10-23)23 October 1992 (aged 23)",9,3,"Juventus","https://en.wikipedia.org/wiki/%C3%81lvaro_Morata","Álvaro Morata","Juventus","Juventus F.C.","https://en.wikipedia.org/wiki/Juventus_F.C.","Spain","https://www.wikidata.org/wiki/Q48770"
8,"3MF","Koke","(1992-01-08)8 January 1992 (aged 24)",23,0,"Atlético Madrid","https://en.wikipedia.org/wiki/Koke_(footballer,_born_1992)","Koke (footballer, born 1992)","Atlético Madrid","Atlético Madrid","https://en.wikipedia.org/wiki/Atl%C3%A9tico_Madrid","Spain","https://www.wikidata.org/wiki/Q276091"
9,"4FW","Lucas Vázquez","(1991-07-01)1 July 1991 (aged 24)",1,0,"Real Madrid","https://en.wikipedia.org/wiki/Lucas_V%C3%A1zquez","Lucas Vázquez","Real Madrid","Real Madrid C.F.","https://en.wikipedia.org/wiki/Real_Madrid_C.F.","Spain","https://www.wikidata.org/wiki/Q5981954"
10,"3MF","Cesc Fàbregas","(1987-05-04)4 May 1987 (aged 29)",106,15,"Chelsea","https://en.wikipedia.org/wiki/Cesc_F%C3%A0bregas","Cesc Fàbregas","Chelsea","Chelsea F.C.","https://en.wikipedia.org/wiki/Chelsea_F.C.","Spain","https://www.wikidata.org/wiki/Q17499"
11,"4FW","Pedro","(1987-07-28)28 July 1987 (aged 28)",58,17,"Chelsea","https://en.wikipedia.org/wiki/Pedro_(footballer,_born_July_1987)","Pedro (footballer, born July 1987)","Chelsea","Chelsea F.C.","https://en.wikipedia.org/wiki/Chelsea_F.C.","Spain","https://www.wikidata.org/wiki/Q179773"
12,"2DF","Héctor Bellerín","(1995-03-19)19 March 1995 (aged 21)",3,0,"Arsenal","https://en.wikipedia.org/wiki/H%C3%A9ctor_Beller%C3%ADn","Héctor Bellerín","Arsenal","Arsenal F.C.","https://en.wikipedia.org/wiki/Arsenal_F.C.","Spain","https://www.wikidata.org/wiki/Q14947422"
13,"1GK","David de Gea","(1990-11-07)7 November 1990 (aged 25)",9,0,"Manchester United","https://en.wikipedia.org/wiki/David_de_Gea","David de Gea","Manchester United","Manchester United F.C.","https://en.wikipedia.org/wiki/Manchester_United_F.C.","Spain","https://www.wikidata.org/wiki/Q150268"
14,"3MF","Thiago","(1991-04-11)11 April 1991 (aged 25)",10,0,"Bayern Munich","https://en.wikipedia.org/wiki/Thiago_Alc%C3%A2ntara","Thiago Alcântara","Bayern Munich","FC Bayern Munich","https://en.wikipedia.org/wiki/FC_Bayern_Munich","Spain","https://www.wikidata.org/wiki/Q17493"
15,"2DF","Sergio Ramos","(1986-03-30)30 March 1986 (aged 30)",132,10,"Real Madrid","https://en.wikipedia.org/wiki/Sergio_Ramos","Sergio Ramos","Real Madrid","Real Madrid C.F.","https://en.wikipedia.org/wiki/Real_Madrid_C.F.","Spain","https://www.wikidata.org/wiki/Q483309"
16,"2DF","Juanfran","(1985-01-09)9 January 1985 (aged 31)",18,0,"Atlético Madrid","https://en.wikipedia.org/wiki/Juanfran_(footballer,_born_1985)","Juanfran (footballer, born 1985)","Atlético Madrid","Atlético Madrid","https://en.wikipedia.org/wiki/Atl%C3%A9tico_Madrid","Spain","https://www.wikidata.org/wiki/Q210914"
17,"2DF","Mikel San José","(1989-05-30)30 May 1989 (aged 27)",7,0,"Athletic Bilbao","https://en.wikipedia.org/wiki/Mikel_San_Jos%C3%A9","Mikel San José","Athletic Bilbao","Athletic Bilbao","https://en.wikipedia.org/wiki/Athletic_Bilbao","Spain","https://www.wikidata.org/wiki/Q312437"
18,"2DF","Jordi Alba","(1989-03-21)21 March 1989 (aged 27)",43,6,"Barcelona","https://en.wikipedia.org/wiki/Jordi_Alba","Jordi Alba","Barcelona","FC Barcelona","https://en.wikipedia.org/wiki/FC_Barcelona","Spain","https://www.wikidata.org/wiki/Q187159"
19,"3MF","Bruno Soriano","(1984-06-12)12 June 1984 (aged 31)",8,0,"Villarreal","https://en.wikipedia.org/wiki/Bruno_Soriano","Bruno Soriano","Villarreal","Villarreal CF","https://en.wikipedia.org/wiki/Villarreal_CF","Spain","https://www.wikidata.org/wiki/Q370395"
20,"4FW","Aritz Aduriz","(1981-02-11)11 February 1981 (aged 35)",6,1,"Athletic Bilbao","https://en.wikipedia.org/wiki/Aritz_Aduriz","Aritz Aduriz","Athletic Bilbao","Athletic Bilbao","https://en.wikipedia.org/wiki/Athletic_Bilbao","Spain","https://www.wikidata.org/wiki/Q54105"
21,"3MF","David Silva","(1986-01-08)8 January 1986 (aged 30)",99,24,"Manchester City","https://en.wikipedia.org/wiki/David_Silva","David Silva","Manchester City","Manchester City F.C.","https://en.wikipedia.org/wiki/Manchester_City_F.C.","Spain","https://www.wikidata.org/wiki/Q161069"
22,"4FW","Nolito","(1986-10-15)15 October 1986 (aged 29)",9,4,"Celta Vigo","https://en.wikipedia.org/wiki/Nolito","Nolito","Celta Vigo","Celta de Vigo","https://en.wikipedia.org/wiki/Celta_de_Vigo","Spain","https://www.wikidata.org/wiki/Q456617"
23,"1GK","Sergio Rico","(1993-09-01)1 September 1993 (aged 22)",1,0,"Sevilla","https://en.wikipedia.org/wiki/Sergio_Rico","Sergio Rico","Sevilla","Sevilla FC","https://en.wikipedia.org/wiki/Sevilla_FC","Spain","https://www.wikidata.org/wiki/Q6125605"
1,"1GK","Petr Čech","(1982-05-20)20 May 1982 (aged 34)",121,0,"Arsenal","https://en.wikipedia.org/wiki/Petr_%C4%8Cech","Petr Čech","Arsenal","Arsenal F.C.","https://en.wikipedia.org/wiki/Arsenal_F.C.","Czech Republic","https://www.wikidata.org/wiki/Q483137"
2,"2DF","Pavel Kadeřábek","(1992-04-25)25 April 1992 (aged 24)",18,2,"1899 Hoffenheim","https://en.wikipedia.org/wiki/Pavel_Kade%C5%99%C3%A1bek","Pavel Kadeřábek","1899 Hoffenheim","TSG 1899 Hoffenheim","https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim","Czech Republic","https://www.wikidata.org/wiki/Q3898288"
3,"2DF","Michal Kadlec","(1984-12-13)13 December 1984 (aged 31)",65,8,"Fenerbahçe","https://en.wikipedia.org/wiki/Michal_Kadlec","Michal Kadlec","Fenerbahçe","Fenerbahçe SK (football)","https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_SK_(football)","Czech Republic","https://www.wikidata.org/wiki/Q294990"
4,"2DF","Theodor Gebre Selassie","(1986-12-24)24 December 1986 (aged 29)",36,1,"Werder Bremen","https://en.wikipedia.org/wiki/Theodor_Gebre_Selassie","Theodor Gebre Selassie","Werder Bremen","SV Werder Bremen","https://en.wikipedia.org/wiki/SV_Werder_Bremen","Czech Republic","https://www.wikidata.org/wiki/Q299750"
5,"2DF","Roman Hubník","(1984-06-06)6 June 1984 (aged 32)",26,3,"Viktoria Plzeň","https://en.wikipedia.org/wiki/Roman_Hubn%C3%ADk","Roman Hubník","Viktoria Plzeň","FC Viktoria Plzeň","https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88","Czech Republic","https://www.wikidata.org/wiki/Q313952"
6,"2DF","Tomáš Sivok","(1983-09-15)15 September 1983 (aged 32)",55,5,"Bursaspor","https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Sivok","Tomáš Sivok","Bursaspor","Bursaspor","https://en.wikipedia.org/wiki/Bursaspor","Czech Republic","https://www.wikidata.org/wiki/Q299762"
7,"4FW","Tomáš Necid","(1989-08-13)13 August 1989 (aged 26)",39,11,"Bursaspor","https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Necid","Tomáš Necid","Bursaspor","Bursaspor","https://en.wikipedia.org/wiki/Bursaspor","Czech Republic","https://www.wikidata.org/wiki/Q299736"
8,"2DF","David Limberský","(1983-10-06)6 October 1983 (aged 32)",38,1,"Viktoria Plzeň","https://en.wikipedia.org/wiki/David_Limbersk%C3%BD","David Limberský","Viktoria Plzeň","FC Viktoria Plzeň","https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88","Czech Republic","https://www.wikidata.org/wiki/Q334393"
9,"3MF","Bořek Dočkal","(1988-09-30)30 September 1988 (aged 27)",24,6,"Sparta Prague","https://en.wikipedia.org/wiki/Bo%C5%99ek_Do%C4%8Dkal","Bořek Dočkal","Sparta Prague","AC Sparta Prague","https://en.wikipedia.org/wiki/AC_Sparta_Prague","Czech Republic","https://www.wikidata.org/wiki/Q388835"
10,"3MF","Tomáš Rosický (captain)","(1980-10-04)4 October 1980 (aged 35)",103,23,"Arsenal","https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Rosick%C3%BD","Tomáš Rosický","Arsenal","Arsenal F.C.","https://en.wikipedia.org/wiki/Arsenal_F.C.","Czech Republic","https://www.wikidata.org/wiki/Q29162"
11,"3MF","Daniel Pudil","(1985-09-27)27 September 1985 (aged 30)",32,2,"Sheffield Wednesday","https://en.wikipedia.org/wiki/Daniel_Pudil","Daniel Pudil","Sheffield Wednesday","Sheffield Wednesday F.C.","https://en.wikipedia.org/wiki/Sheffield_Wednesday_F.C.","Czech Republic","https://www.wikidata.org/wiki/Q10732"
12,"4FW","Milan Škoda","(1986-01-16)16 January 1986 (aged 30)",9,3,"Slavia Prague","https://en.wikipedia.org/wiki/Milan_%C5%A0koda","Milan Škoda","Slavia Prague","SK Slavia Prague","https://en.wikipedia.org/wiki/SK_Slavia_Prague","Czech Republic","https://www.wikidata.org/wiki/Q3495784"
13,"3MF","Jaroslav Plašil","(1982-01-05)5 January 1982 (aged 34)",100,7,"Bordeaux","https://en.wikipedia.org/wiki/Jaroslav_Pla%C5%A1il","Jaroslav Plašil","Bordeaux","FC Girondins de Bordeaux","https://en.wikipedia.org/wiki/FC_Girondins_de_Bordeaux","Czech Republic","https://www.wikidata.org/wiki/Q193717"
14,"3MF","Daniel Kolář","(1985-10-27)27 October 1985 (aged 30)",28,2,"Viktoria Plzeň","https://en.wikipedia.org/wiki/Daniel_Kol%C3%A1%C5%99","Daniel Kolář","Viktoria Plzeň","FC Viktoria Plzeň","https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88","Czech Republic","https://www.wikidata.org/wiki/Q334334"
15,"3MF","David Pavelka","(1991-05-18)18 May 1991 (aged 25)",8,0,"Kasımpaşa","https://en.wikipedia.org/wiki/David_Pavelka","David Pavelka","Kasımpaşa","Kasımpaşa Spor Kulübü","https://en.wikipedia.org/wiki/Kas%C4%B1mpa%C5%9Fa_Spor_Kul%C3%BCb%C3%BC","Czech Republic","https://www.wikidata.org/wiki/Q5238456"
16,"1GK","Tomáš Vaclík","(1989-03-29)29 March 1989 (aged 27)",6,0,"Basel","https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Vacl%C3%ADk","Tomáš Vaclík","Basel","FC Basel","https://en.wikipedia.org/wiki/FC_Basel","Czech Republic","https://www.wikidata.org/wiki/Q1556977"
17,"2DF","Marek Suchý","(1988-03-29)29 March 1988 (aged 28)",27,1,"Basel","https://en.wikipedia.org/wiki/Marek_Such%C3%BD","Marek Suchý","Basel","FC Basel","https://en.wikipedia.org/wiki/FC_Basel","Czech Republic","https://www.wikidata.org/wiki/Q266045"
18,"3MF","Josef Šural","(1990-05-30)30 May 1990 (aged 26)",11,1,"Sparta Prague","https://en.wikipedia.org/wiki/Josef_%C5%A0ural","Josef Šural","Sparta Prague","AC Sparta Prague","https://en.wikipedia.org/wiki/AC_Sparta_Prague","Czech Republic","https://www.wikidata.org/wiki/Q1563415"
19,"3MF","Ladislav Krejčí","(1992-07-05)5 July 1992 (aged 23)",23,4,"Sparta Prague","https://en.wikipedia.org/wiki/Ladislav_Krej%C4%8D%C3%AD","Ladislav Krejčí","Sparta Prague","AC Sparta Prague","https://en.wikipedia.org/wiki/AC_Sparta_Prague","Czech Republic","https://www.wikidata.org/wiki/Q1986401"
20,"3MF","Jiří Skalák","(1992-03-12)12 March 1992 (aged 24)",10,0,"Brighton & Hove Albion","https://en.wikipedia.org/wiki/Ji%C5%99%C3%AD_Skal%C3%A1k","Jiří Skalák","Brighton & Hove Albion","Brighton & Hove Albion F.C.","https://en.wikipedia.org/wiki/Brighton_&_Hove_Albion_F.C.","Czech Republic","https://www.wikidata.org/wiki/Q6203811"
21,"4FW","David Lafata","(1981-09-18)18 September 1981 (aged 34)",39,9,"Sparta Prague","https://en.wikipedia.org/wiki/David_Lafata","David Lafata","Sparta Prague","AC Sparta Prague","https://en.wikipedia.org/wiki/AC_Sparta_Prague","Czech Republic","https://www.wikidata.org/wiki/Q334430"
22,"3MF","Vladimír Darida","(1990-08-08)8 August 1990 (aged 25)",36,1,"Hertha BSC","https://en.wikipedia.org/wiki/Vladim%C3%ADr_Darida","Vladimír Darida","Hertha BSC","Hertha BSC","https://en.wikipedia.org/wiki/Hertha_BSC","Czech Republic","https://www.wikidata.org/wiki/Q278239"
23,"1GK","Tomáš Koubek","(1992-08-26)26 August 1992 (aged 23)",2,0,"Slovan Liberec","https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Koubek","Tomáš Koubek","Slovan Liberec","FC Slovan Liberec","https://en.wikipedia.org/wiki/FC_Slovan_Liberec","Czech Republic","https://www.wikidata.org/wiki/Q3496583"
1,"1GK","Volkan Babacan","(1988-08-12)12 August 1988 (aged 27)",17,0,"İstanbul Başakşehir","https://en.wikipedia.org/wiki/Volkan_Babacan","Volkan Babacan","İstanbul Başakşehir","İstanbul Başakşehir F.K.","https://en.wikipedia.org/wiki/%C4%B0stanbul_Ba%C5%9Fak%C5%9Fehir_F.K.","Turkey","https://www.wikidata.org/wiki/Q2037568"
2,"2DF","Semih Kaya","(1991-02-24)24 February 1991 (aged 25)",23,0,"Galatasaray","https://en.wikipedia.org/wiki/Semih_Kaya","Semih Kaya","Galatasaray","Galatasaray S.K. (football)","https://en.wikipedia.org/wiki/Galatasaray_S.K._(football)","Turkey","https://www.wikidata.org/wiki/Q1366105"
3,"2DF","Hakan Balta","(1983-03-23)23 March 1983 (aged 33)",46,2,"Galatasaray","https://en.wikipedia.org/wiki/Hakan_Balta","Hakan Balta","Galatasaray","Galatasaray S.K. (football)","https://en.wikipedia.org/wiki/Galatasaray_S.K._(football)","Turkey","https://www.wikidata.org/wiki/Q31564"
4,"2DF","Ahmet Yılmaz Çalık","(1994-06-22)22 June 1994 (aged 21)",4,0,"Gençlerbirliği","https://en.wikipedia.org/wiki/Ahmet_Y%C4%B1lmaz_%C3%87al%C4%B1k","Ahmet Yılmaz Çalık","Gençlerbirliği","Gençlerbirliği S.K.","https://en.wikipedia.org/wiki/Gen%C3%A7lerbirli%C4%9Fi_S.K.","Turkey","https://www.wikidata.org/wiki/Q13407931"
5,"3MF","Nuri Şahin","(1988-09-05)5 September 1988 (aged 27)",49,2,"Borussia Dortmund","https://en.wikipedia.org/wiki/Nuri_%C5%9Eahin","Nuri Şahin","Borussia Dortmund","Borussia Dortmund","https://en.wikipedia.org/wiki/Borussia_Dortmund","Turkey","https://www.wikidata.org/wiki/Q75857"
6,"3MF","Hakan Çalhanoğlu","(1994-02-08)8 February 1994 (aged 22)",19,6,"Bayer Leverkusen","https://en.wikipedia.org/wiki/Hakan_%C3%87alhano%C4%9Flu","Hakan Çalhanoğlu","Bayer Leverkusen","Bayer 04 Leverkusen","https://en.wikipedia.org/wiki/Bayer_04_Leverkusen","Turkey","https://www.wikidata.org/wiki/Q763465"
7,"2DF","Gökhan Gönül","(1985-01-04)4 January 1985 (aged 31)",57,1,"Fenerbahçe","https://en.wikipedia.org/wiki/G%C3%B6khan_G%C3%B6n%C3%BCl","Gökhan Gönül","Fenerbahçe","Fenerbahçe S.K. (football)","https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_S.K._(football)","Turkey","https://www.wikidata.org/wiki/Q730284"
8,"3MF","Selçuk İnan","(1985-02-10)10 February 1985 (aged 31)",52,8,"Galatasaray","https://en.wikipedia.org/wiki/Sel%C3%A7uk_%C4%B0nan","Selçuk İnan","Galatasaray","Galatasaray S.K. (football)","https://en.wikipedia.org/wiki/Galatasaray_S.K._(football)","Turkey","https://www.wikidata.org/wiki/Q936379"
9,"4FW","Cenk Tosun","(1991-06-07)7 June 1991 (aged 25)",9,3,"Beşiktaş","https://en.wikipedia.org/wiki/Cenk_Tosun","Cenk Tosun","Beşiktaş","Beşiktaş J.K.","https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K.","Turkey","https://www.wikidata.org/wiki/Q377432"
10,"3MF","Arda Turan (captain)","(1987-01-30)30 January 1987 (aged 29)",91,17,"Barcelona","https://en.wikipedia.org/wiki/Arda_Turan","Arda Turan","Barcelona","FC Barcelona","https://en.wikipedia.org/wiki/FC_Barcelona","Turkey","https://www.wikidata.org/wiki/Q487459"
11,"3MF","Olcay Şahan","(1987-05-26)26 May 1987 (aged 29)",24,2,"Beşiktaş","https://en.wikipedia.org/wiki/Olcay_%C5%9Eahan","Olcay Şahan","Beşiktaş","Beşiktaş J.K.","https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K.","Turkey","https://www.wikidata.org/wiki/Q820143"
12,"1GK","Onur Kıvrak","(1988-01-01)1 January 1988 (aged 28)",12,0,"Trabzonspor","https://en.wikipedia.org/wiki/Onur_K%C4%B1vrak","Onur Kıvrak","Trabzonspor","Trabzonspor","https://en.wikipedia.org/wiki/Trabzonspor","Turkey","https://www.wikidata.org/wiki/Q1372826"
13,"2DF","İsmail Köybaşı","(1989-07-10)10 July 1989 (aged 26)",19,0,"Beşiktaş","https://en.wikipedia.org/wiki/%C4%B0smail_K%C3%B6yba%C5%9F%C4%B1","İsmail Köybaşı","Beşiktaş","Beşiktaş J.K.","https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K.","Turkey","https://www.wikidata.org/wiki/Q344193"
